Time Created: 11/10/2020 7:29:10 PM
-----New Entry: 11/10/2020 7:29:10 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01


targetPositionX,targetPositionY,AngleX,AngleY
-0.005, 0.000,-0.276,0.011
-0.005, 0.000,-0.283,0.011
-0.005, 0.000,-0.290,0.010
-0.005, 0.000,-0.297,0.010
-0.005, 0.000,-0.304,0.010
-0.005, 0.000,-0.310,0.009
-0.005, 0.000,-0.316,0.009
-0.005, 0.000,-0.323,0.009
-0.005, 0.000,-0.329,0.008
-0.006, 0.000,-0.335,0.008
-0.006, 0.000,-0.342,0.008
-0.006, 0.000,-0.348,0.008
-0.006, 0.000,-0.354,0.007
-0.006, 0.000,-0.361,0.007
-0.005, 0.000,-0.276,0.002
-0.004, 0.000,-0.251,-0.007
-0.004, 0.000,-0.258,-0.002
-0.005, 0.000,-0.288,-0.002
-0.005, 0.000,-0.326,-0.002
-0.006, 0.000,-0.360,-0.002
-0.006, 0.000,-0.384,-0.002
-0.007, 0.000,-0.397,-0.002
-0.007, 0.000,-0.403,-0.002
-0.007, 0.000,-0.406,-0.002
-0.007, 0.000,-0.410,-0.002
-0.007, 0.000,-0.419,-0.002
-0.007, 0.000,-0.431,-0.003
-0.007, 0.000,-0.446,-0.003
-0.008, 0.000,-0.462,-0.003
-0.008, 0.000,-0.477,-0.003
-0.008, 0.000,-0.492,-0.003
-0.008, 0.000,-0.495,-0.003
-0.008, 0.000,-0.490,-0.002
-0.008, 0.000,-0.482,-0.002
-0.008, 0.000,-0.473,-0.002
-0.008, 0.000,-0.468,-0.002
-0.008, 0.000,-0.466,-0.002
-0.008, 0.000,-0.467,-0.002
-0.008, 0.000,-0.468,-0.002
