Time Created: 11/10/2020 7:51:01 PM
-----New Entry: 11/10/2020 7:51:01 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 1: corners with velocity 

Entry,Acc,AvgDistance,Velocity

180:,10.000,0.053,(4.5, -3.5, -7.2)
200:,5.000,0.019,(6.8, -0.7, -6.0)
0:,34.500,0.105,(6.8, -0.7, -6.0)
20:,40.000,0.010,(9.0, 2.2, -5.0)
40:,0.000,0.019,(8.7, 2.5, -4.5)
60:,0.000,0.057,(8.3, 2.7, -4.0)
80:,0.000,0.112,(7.5, 2.5, 0.0)
100:,0.000,0.166,(6.8, 1.1, 0.0)
120:,40.000,0.194,(5.1, -1.9, 1.2)
140:,90.000,0.211,(-2.2, -4.6, 2.8)
160:,75.000,0.165,(-3.1, -7.0, 3.4)
180:,80.000,0.114,(-0.9, 0.0, 1.0)
200:,100.000,0.107,(0.0, 0.0, 0.0)
0:,42.500,0.116,(0.0, 0.0, 0.0)
20:,100.000,0.107,(0.0, 0.0, 0.0)
40:,100.000,0.107,(0.0, 0.0, 0.0)
-----New Entry: 11/10/2020 7:56:26 PM-----

******************* Parameters *******************
predictVelocity: True
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 3: up and down slowly with velocity 

Entry,Acc,AvgDistance,Velocity

20:,0.000,10.228,(0.1, 0.0, 0.1)
40:,0.000,9.628,(1.0, 0.0, 2.8)
60:,0.000,6.825,(1.1, 0.0, 5.3)
80:,0.000,3.306,(1.8, -1.3, 2.6)
100:,0.000,4.393,(2.6, 0.0, 2.7)
120:,0.000,6.449,(-0.1, 0.0, 1.9)
140:,30.000,2.293,(-1.4, 0.0, 1.7)
160:,100.000,0.079,(0.0, 0.0, 0.0)
180:,100.000,0.076,(0.0, 0.0, 0.0)
200:,100.000,0.076,(0.0, 0.0, 0.0)
0:,33.000,4.335,(0.0, 0.0, 0.0)
20:,100.000,0.078,(0.0, 0.7, 0.0)
40:,100.000,0.077,(0.0, 1.1, 0.0)
60:,80.000,0.069,(0.0, -1.9, 0.0)
80:,60.000,0.081,(0.0, 0.0, 0.0)
100:,100.000,0.076,(0.0, 0.0, 0.0)
120:,100.000,0.077,(0.0, 0.4, 0.0)
140:,100.000,0.077,(0.0, 0.4, 0.0)
160:,100.000,0.077,(0.0, 0.4, 0.0)
180:,100.000,0.077,(0.0, 0.3, 0.0)
200:,100.000,0.076,(0.0, 0.0, 0.0)
0:,94.000,0.077,(0.0, 0.0, 0.0)
20:,100.000,0.076,(0.0, -0.4, 0.0)
40:,100.000,0.077,(0.0, -0.4, 0.0)
60:,100.000,0.077,(0.0, -0.3, 0.0)
80:,100.000,0.077,(0.0, -0.3, 0.0)
100:,100.000,0.077,(0.0, 0.0, 0.0)
120:,100.000,0.076,(0.0, 0.0, 0.0)
140:,100.000,0.076,(0.0, 0.0, 0.0)
-----New Entry: 11/10/2020 7:57:07 PM-----

******************* Parameters *******************
predictVelocity: False
noiseDampening: False
MaxNoise: 0
chanceToLoseFrame: 0
velocityMaxDegreeChange: 0.01




Test 3: up and down slowly no velocity 

Entry,Acc,AvgDistance,Velocity

20:,0.000,10.228,(0.0, 0.0, 0.0)
40:,0.000,10.190,(0.6, 0.0, 1.0)
60:,0.000,9.038,(1.9, 0.0, 3.4)
80:,0.000,6.175,(2.3, -1.0, 5.8)
100:,0.000,4.959,(0.5, 0.0, 5.7)
120:,55.000,1.707,(-0.1, 0.0, 2.1)
140:,100.000,0.105,(0.0, 0.0, 0.0)
160:,100.000,0.074,(0.0, 0.1, 0.0)
